Reference, Value, Footprint, Datasheet
"J1","Raspberry_Pi_2_3","open-nsynth-super:RPi",""
"J9","Audio-Jack-3","open-nsynth-super:KLBR_4",""
"J2","DIN-5_180degree","open-nsynth-super:MIDI",""
"J3","OLED13","open-nsynth-super:oled13",""
"J4","USB_OTG","Connectors:USB_Micro-B",""
"U4","TPS73133","open-nsynth-super:SOT-23-5",""
"C14","1uF","Capacitors_SMD:C_1206_HandSoldering",""
"C15","1uF","Capacitors_SMD:C_1206_HandSoldering",""
"C16","1uF","Capacitors_SMD:C_1206_HandSoldering",""
"U5","TPS73133","open-nsynth-super:SOT-23-5",""
"C17","1uF","Capacitors_SMD:C_1206_HandSoldering",""
"C18","1uF","Capacitors_SMD:C_1206_HandSoldering",""
"C19","1uF","Capacitors_SMD:C_1206_HandSoldering",""
"U6","TPS73133","open-nsynth-super:SOT-23-5",""
"C20","1uF","Capacitors_SMD:C_1206_HandSoldering",""
"C21","1uF","Capacitors_SMD:C_1206_HandSoldering",""
"C22","1uF","Capacitors_SMD:C_1206_HandSoldering",""
"C23","2.2uF","Capacitors_SMD:C_1206_HandSoldering",""
"C24","2.2uF","Capacitors_SMD:C_1206_HandSoldering",""
"R2","470","Resistors_SMD:R_1206_HandSoldering",""
"R3","470","Resistors_SMD:R_1206_HandSoldering",""
"C1","2.2nF","Capacitors_SMD:C_1206_HandSoldering",""
"C2","2.2nF","Capacitors_SMD:C_1206_HandSoldering",""
"C9","0.1uF","Capacitors_SMD:C_1206_HandSoldering",""
"C10","0.1uF","Capacitors_SMD:C_1206_HandSoldering",""
"R8","5k6","Resistors_SMD:R_1206_HandSoldering",""
"R9","10k","Resistors_SMD:R_1206_HandSoldering",""
"C30","10uF","Capacitors_SMD:C_1206_HandSoldering",""
"C27","10uF","Capacitors_SMD:C_1206_HandSoldering",""
"C11","0.1uF","Capacitors_SMD:C_1206_HandSoldering",""
"C28","10uF","Capacitors_SMD:C_1206_HandSoldering",""
"C12","0.1uF","Capacitors_SMD:C_1206_HandSoldering",""
"C29","10uF","Capacitors_SMD:C_1206_HandSoldering",""
"R4","470","Resistors_SMD:R_1206_HandSoldering",""
"R5","470","Resistors_SMD:R_1206_HandSoldering",""
"R6","470","Resistors_SMD:R_1206_HandSoldering",""
"U1","PCM512x","open-nsynth-super:TSSOP-28_4.4x9.7mm_Pitch0.65mm",""
"U7","STM32F030K6Tx","open-nsynth-super:LQFP-32_7x7mm_Pitch0.8mm",""
"R32","10k","Resistors_SMD:R_1206_HandSoldering",""
"C13","1uF","Capacitors_SMD:C_1206_HandSoldering",""
"C6","0.1uF","Capacitors_SMD:C_1206_HandSoldering",""
"C7","0.1uF","Capacitors_SMD:C_1206_HandSoldering",""
"C25","2.2uF","Capacitors_SMD:C_1206_HandSoldering",""
"C3","0.01uF","Capacitors_SMD:C_1206_HandSoldering",""
"C8","0.1uF","Capacitors_SMD:C_1206_HandSoldering",""
"RV4","POT","open-nsynth-super:Potentiometer_Alps_RK09K",""
"RV3","POT","open-nsynth-super:Potentiometer_Alps_RK09K",""
"RV2","POT","open-nsynth-super:Potentiometer_Alps_RK09K",""
"RV1","POT","open-nsynth-super:Potentiometer_Alps_RK09K",""
"RV0","POT","open-nsynth-super:Potentiometer_Alps_RK09K",""
"RV5","POT","open-nsynth-super:Potentiometer_Alps_RK09K",""
"SW0","Rotary_Encoder","Potentiometers:Potentiometer_Alps_RK09L_Sleve_Single_Horizontal",""
"SW1","Rotary_Encoder","Potentiometers:Potentiometer_Alps_RK09L_Sleve_Single_Horizontal",""
"SW2","Rotary_Encoder","Potentiometers:Potentiometer_Alps_RK09L_Sleve_Single_Horizontal",""
"SW3","Rotary_Encoder","Potentiometers:Potentiometer_Alps_RK09L_Sleve_Single_Horizontal",""
"C26","2.2uF","Capacitors_SMD:C_1206_HandSoldering",""
"U2","AT42QT2120","open-nsynth-super:TSSOP-20_4.4x6.5mm_Pitch0.65mm",""
"C4","0.1uF","Capacitors_SMD:C_1206_HandSoldering",""
"U3","AT42QT2120","open-nsynth-super:TSSOP-20_4.4x6.5mm_Pitch0.65mm",""
"C5","0.1uF","Capacitors_SMD:C_1206_HandSoldering",""
"TC1","touch","open-nsynth-super:touch_cell",""
"TC2","touch","open-nsynth-super:touch_cell",""
"TC3","touch","open-nsynth-super:touch_cell",""
"TC4","touch","open-nsynth-super:touch_cell",""
"TC5","touch","open-nsynth-super:touch_cell",""
"TC6","touch","open-nsynth-super:touch_cell",""
"TC7","touch","open-nsynth-super:touch_cell",""
"TC8","touch","open-nsynth-super:touch_cell",""
"TC9","touch","open-nsynth-super:touch_cell",""
"TC10","touch","open-nsynth-super:touch_cell",""
"TC11","touch","open-nsynth-super:touch_cell",""
"TC12","touch","open-nsynth-super:touch_cell",""
"TC13","touch","open-nsynth-super:touch_cell",""
"TC14","touch","open-nsynth-super:touch_cell",""
"TC15","touch","open-nsynth-super:touch_cell",""
"TC16","touch","open-nsynth-super:touch_cell",""
"TC17","touch","open-nsynth-super:touch_cell",""
"TC18","touch","open-nsynth-super:touch_cell",""
"TC19","touch","open-nsynth-super:touch_cell",""
"TC20","touch","open-nsynth-super:touch_cell",""
"TC21","touch","open-nsynth-super:touch_cell",""
"TC22","touch","open-nsynth-super:touch_cell",""
"TC23","touch","open-nsynth-super:touch_cell",""
"TC24","touch","open-nsynth-super:touch_cell",""
"TC25","touch","open-nsynth-super:touch_cell",""
"TC26","touch","open-nsynth-super:touch_cell",""
"TC27","touch","open-nsynth-super:touch_cell",""
"TC28","touch","open-nsynth-super:touch_cell",""
"TC29","touch","open-nsynth-super:touch_cell",""
"TC30","touch","open-nsynth-super:touch_cell",""
"TC31","touch","open-nsynth-super:touch_cell",""
"TC32","touch","open-nsynth-super:touch_cell",""
"TC33","touch","open-nsynth-super:touch_cell",""
"TC34","touch","open-nsynth-super:touch_cell",""
"TC35","touch","open-nsynth-super:touch_cell",""
"TC36","touch","open-nsynth-super:touch_cell",""
"TC37","touch","open-nsynth-super:touch_cell",""
"TC38","touch","open-nsynth-super:touch_cell",""
"TC39","touch","open-nsynth-super:touch_cell",""
"TC40","touch","open-nsynth-super:touch_cell",""
"TC41","touch","open-nsynth-super:touch_cell",""
"TC42","touch","open-nsynth-super:touch_cell",""
"TC43","touch","open-nsynth-super:touch_cell",""
"TC44","touch","open-nsynth-super:touch_cell",""
"TC45","touch","open-nsynth-super:touch_cell",""
"TC46","touch","open-nsynth-super:touch_cell",""
"TC47","touch","open-nsynth-super:touch_cell",""
